"Metabolite","Diabetes","Mean","SD","N","SE"
"Threonine","Non-diabetic",-0.338604506672414,1.17521896853249,58,0.154313810587084
"Threonine","Diabetic",-0.072027477255102,0.867498542318088,98,0.087630585991795
"Tryptophan","Non-diabetic",-0.111351489465517,1.09353596614376,58,0.143588306918147
"Tryptophan","Diabetic",0.195829018622449,1.03634114004104,98,0.10468626396366
"Tyrosine","Non-diabetic",0.224569258793103,0.936076918023991,58,0.122912920988053
"Tyrosine","Diabetic",-0.259930921102041,0.99039964928344,98,0.100045472584728
"Uric_acid","Non-diabetic",-0.0781552205689655,1.02815062838718,58,0.135002791456002
"Uric_acid","Diabetic",-0.212811070632653,1.01125936553587,98,0.102152622129831
"Uridine","Non-diabetic",-0.132747697431034,0.965292611669535,58,0.126749129504172
"Uridine","Diabetic",-0.061864830755102,1.04666325757669,98,0.10572895529304
"Valine","Non-diabetic",-0.0299455829655172,1.07164960300986,58,0.140714486646762
"Valine","Diabetic",0.0537640165510204,1.07360161113266,98,0.108450139932101
"Xanthosine","Non-diabetic",-0.0186373527931035,0.984529355641405,58,0.129275037734954
"Xanthosine","Diabetic",0.0490493929795918,1.10978567589308,98,0.112105282441099
"Xylitol","Non-diabetic",0.0216616958448276,0.867377518419829,58,0.113892247886426
"Xylitol","Diabetic",0.0609070120204082,0.938131524034793,98,0.0947655946128389
